Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps),Radiation Bi (cps),Radiation K (cps),Radiation Tl (cps),Temperature (C)
1682115230.6760368,0,0,3.0,43.0,0.8,0.4,0.0,0
1682115236.2124045,0,0,4.0,45.8,0.8,0.0,0.0,0
1682115243.4307358,0,0,3.0,35.4,0.8,0.2,0.0,0
1682115250.1355016,0,0,3.0,41.6,0.8,0.4,0.0,0
1682115255.6670833,0,0,3.5,40.4,1.4,0.2,0.0,0
1682115264.1805382,0,0,3.5,45.4,1.0,0.4,0.0,0
1682115272.826869,0,0,3.0,46.4,1.0,0.0,0.0,0
1682115278.430411,0,0,3.5,46.8,1.0,0.2,0.0,0
1682115285.5202248,0,0,2.5,46.4,1.4,0.2,0.0,0
1682115291.1573067,0,0,2.0,37.6,0.6,0.4,0.0,0
1682115296.8049262,0,0,2.0,51.2,2.4,0.4,0.0,0
1682115302.5119903,0,0,2.0,45.0,1.2,0.4,0.2,0
1682115308.2060022,0,0,2.5,40.8,0.8,0.4,0.0,0
1682115313.9747562,0,0,3.0,44.4,0.6,0.4,0.2,0
1682115319.8217232,0,0,3.0,37.0,1.2,0.2,0.0,0
1682115328.6485748,0,0,3.0,33.4,1.2,0.0,0.0,0
1682115334.5673428,0,0,3.0,39.6,0.2,0.4,0.0,0
1682115340.3831027,0,0,3.0,40.4,1.0,0.2,0.0,0
1682115346.2589548,0,0,2.0,49.8,1.6,0.2,0.0,0
1682115352.1923976,0,0,3.0,49.4,1.2,0.6,0.0,0
1682115358.0467427,0,0,3.0,50.8,0.0,0.2,0.0,0
1682115366.358356,0,0,2.5,55.4,1.0,0.8,0.0,0
1682115372.3620603,0,0,3.0,47.2,1.6,0.0,0.0,0
1682115378.3054774,0,0,3.0,53.6,0.8,0.4,0.0,0
1682115384.3728254,0,0,1.5,48.4,1.8,0.2,0.0,0
1682115390.4146118,0,0,2.0,36.0,2.4,1.0,0.0,0
1682115396.532776,0,0,3.0,46.4,1.0,0.2,0.2,0
1682115402.5685387,0,0,3.0,46.6,0.6,0.6,0.0,0
