Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps)
1682721052.7741508,37.875921,-122.259365,3.0,36.4
1682721065.1407266,37.876004,-122.259388,1.0,43.2
1682721070.6781328,37.876001,-122.259388,1.0,43.0
1682721076.0294151,37.876,-122.25939,1.0,39.4
1682721081.4166179,37.875998,-122.259391,1.5,39.8
1682721086.8269515,37.875995,-122.25939,3.0,41.0
1682721097.1260738,37.875986,-122.259391,3.0,34.2
1682721103.5581062,37.875978,-122.259385,3.0,64.8
1682721108.935881,37.875981,-122.259386,3.0,41.8
1682721116.2507243,37.87598,-122.259381,3.5,39.4
1682721121.743557,37.875978,-122.259381,3.5,45.4
1682721127.1596475,37.875978,-122.25938,3.0,32.4
1682721132.6104803,37.875985,-122.259386,4.0,43.2
1682721138.0730357,37.875989,-122.259393,3.5,43.6
1682721145.7370446,37.875993,-122.259386,3.0,43.2
1682721160.159266,37.875976,-122.259385,3.0,39.8
1682721171.794372,37.875978,-122.259383,4.0,41.0
1682721177.2440007,37.875976,-122.259383,3.5,42.0
1682721182.717167,37.87598,-122.259381,3.0,37.4
1682721192.8682234,37.87598,-122.25938,3.0,38.2
1682721198.3745918,37.875981,-122.259378,3.0,41.6
1682721203.975019,37.875991,-122.259376,3.0,38.2
1682721209.4983406,37.875986,-122.259375,3.0,37.6
1682721219.6283367,37.875965,-122.259366,3.5,38.6
1682721225.208147,37.875965,-122.259365,3.5,38.2
1682721230.7388153,37.875966,-122.259368,3.0,41.8
1682721243.3473883,37.875975,-122.259376,3.0,41.4
1682721248.9851055,37.875988,-122.259385,3.0,41.0
1682721256.3645663,37.876001,-122.25939,3.0,38.6
1682721261.9589014,37.876006,-122.25939,2.0,41.8
1682721267.5353425,37.876003,-122.259391,3.0,41.0
1682721273.1211748,37.875991,-122.259391,3.0,47.6
1682721278.6874764,37.875996,-122.259391,3.0,40.2
1682721284.284275,37.876003,-122.259396,3.0,44.2
1682721293.2126832,37.876001,-122.259393,3.0,37.8
1682721299.0965176,37.875996,-122.25939,3.0,45.0
1682721304.711133,37.875989,-122.259381,3.0,42.0
1682721310.3243635,37.875993,-122.259383,2.5,43.8
1682721315.999407,37.876001,-122.259383,3.0,43.6
1682721321.613295,37.875993,-122.259378,3.0,40.8
1682721327.7023582,37.875995,-122.25938,3.0,35.4
1682721336.3228068,37.876003,-122.259383,3.0,41.4
1682721341.9932683,37.876006,-122.259383,3.0,43.8
1682721354.66698,37.876013,-122.259398,3.5,40.0
1682721360.3358517,37.876016,-122.2594,3.0,37.6
1682721366.0749998,37.876023,-122.259403,3.0,41.4
1682721371.7489078,37.876028,-122.259398,3.0,40.6
1682721377.4096503,37.876031,-122.259401,3.0,39.8
1682721392.3973,37.876031,-122.259406,4.0,39.2
1682721398.0919611,37.876028,-122.259411,4.0,38.0
1682721403.8131638,37.876015,-122.259411,3.0,42.6
1682721409.5965614,37.876003,-122.259418,3.0,40.6
1682721421.0710027,37.875993,-122.259398,3.0,37.4
