Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps),Temperature (C)
1682989794.0223625,37.87316,-122.264763,4.0,28.6,0
1682989801.345627,37.87316,-122.264765,5.0,28.8,0
1682989806.8825452,37.873161,-122.264765,6.0,26.8,0
1682989827.3366625,37.873158,-122.264763,7.5,24.6,0
1682989836.115903,37.873156,-122.264763,6.0,22.2,0
1682989852.9984324,37.87316,-122.264758,5.0,23.2,0
1682989862.0334337,37.87316,-122.264758,5.0,22.2,0
1682989867.6772187,37.87316,-122.264756,4.0,21.0,0
1682989877.0961988,37.873166,-122.264753,3.0,23.6,0
1682989883.348395,37.873173,-122.264748,3.0,24.2,0
1682989895.6813962,37.873166,-122.264746,3.0,25.0,0
1682989901.278044,37.873166,-122.264743,3.0,37.8,0
1682989906.8998685,37.873168,-122.264745,3.0,27.4,0
1682989917.6711426,37.873166,-122.264755,3.0,22.2,0
1682989923.7230062,37.873163,-122.264755,2.0,24.8,0
1682989932.7672842,37.873161,-122.264756,3.0,22.8,0
1682989938.4182694,37.873156,-122.264755,3.0,22.8,0
1682989952.5586004,37.873165,-122.26475,3.0,23.6,0
1682989959.6672456,37.873168,-122.264751,3.0,21.8,0
1682989972.158254,37.87317,-122.264746,2.0,23.4,0
1682989981.834184,37.873166,-122.264745,3.0,22.4,0
1682989987.4972332,37.873166,-122.264743,3.0,23.0,0
1682989996.251537,37.87317,-122.264746,3.0,16.8,0
1682990001.9522505,37.873166,-122.264745,2.5,25.8,0
1682990009.5803242,37.873165,-122.264745,2.0,20.6,0
1682990016.0387259,37.873165,-122.264745,3.0,23.0,0
1682990022.378235,37.873161,-122.264743,4.0,23.0,0
1682990028.8848414,37.873161,-122.264743,4.0,22.0,0
1682990034.7248611,37.87316,-122.26474,3.0,27.6,0
1682990049.3301713,37.873158,-122.26474,4.0,23.8,0
1682990055.0423372,37.87316,-122.26474,3.0,29.0,0
1682990060.8384645,37.87316,-122.264738,3.0,23.2,0
1682990067.802898,37.87316,-122.264736,4.0,23.8,0
1682990073.5418189,37.873161,-122.264736,3.0,22.0,0
1682990080.7383397,37.873161,-122.264736,2.0,22.8,0
1682990089.4855464,37.87316,-122.264738,2.0,23.8,0
1682990095.920653,37.87316,-122.264736,2.0,25.8,0
1682990101.7322578,37.873161,-122.264736,2.5,23.0,0
1682990107.5702357,37.87316,-122.264735,3.0,25.6,0
1682990113.4046082,37.873161,-122.264733,2.5,25.2,0
1682990119.2236419,37.873163,-122.264733,3.0,23.4,0
1682990126.5738804,37.873163,-122.264731,2.5,23.2,0
1682990132.4117653,37.873163,-122.264731,3.0,26.0,0
1682990138.27526,37.873165,-122.26473,3.0,23.6,0
1682990144.1137068,37.873165,-122.26473,3.0,24.4,0
1682990149.9839468,37.873165,-122.26473,3.0,21.8,0
1682990155.8734684,37.873165,-122.264728,3.0,24.0,0
